Что,Где,Когда,Кто,Тип,Столбец 6,Оценка,Откуда,Тэги,Жанр,Фича,РАЗНЕСЛИ:,6884,,,,,,
36) 9Lana — Propose {プロポ—ズ / Предложение} (MV),https://youtu.be/XPLkkdMFmco?si=j0kfroyJPMT7kXZ0,7:03:15,Madao,донат,,гениально,,,,,,,,,,,,
37) DIMMU BORGIR — Progenies Of The Great Apocalypse (LIVE - FORCES OF THE NORTHERN NIGHT),https://youtu.be/xlD5zePSzdQ?t=16,7:18:45,Враг тишины,донат,,атлична,,,,,,,,,,,,
38) Falconshield. feat. Coky RICCIOLINO — Destruction. Rebirth. Perfection. (League of Legends song - Jhin),https://youtu.be/bLy-sKO_So4,7:42:05,Алексей Котляр,долг Х3💀,,атлична,,,,,,,,,,,,
39) Kiss — I Was Made For Lovin' You,https://youtu.be/ZhIsAZO5gl0,7:52:20,Momonga,долг,,атлична+,,,,,,,,,,,,
40) Arm's Length — Gallows Humour,https://www.youtube.com/watch?v=QueETwczZDs,8:00:20,Чар,донат,,атлична,,,,,,,,,,,,
"41) Ogura Kei — Song of Farewell {Kansou no Uta} (Live) [ED 3, Legend of the Galactic Heroes / Легенда о героях Галактики]",https://youtu.be/wMw2s-ewvMk?si=A6LYgJUbn8mKXckN,8:08:15,Nighter_Specter,долг Х2,,атлична-,Аниме,,,,,,,,,,,
42) Гости Гаррисона — Негрони {Negroni},https://music.yandex.ru/album/29527746/track/122178248?utm_source=desktop&utm_medium=copy_link,8:21:45,Hedor0u,донат,,хорошечно -,,,,,,,,,,,,
"43) HANATARASH — Anti Satori: Bulldozer Show 1985 (СТРАШНА ВЫРУБАЙ! 0_0, Slideshow)",https://youtu.be/dryImjiWj1M?si=bNk6hEomxVG98-y0,8:28:50,Elovir,долг Х3💀,,ПРОКЛЯТО+,,,,,,,,,,,,
44) Tiny Moving Parts — Minnow,https://www.youtube.com/watch?v=iOjMadSI_Cc,8:33:20,Чар,донат,,хорошечно +,,,,,,,,,,,,
"45) Basilis Papadopoulos — Overtaken [OST, One Piece / Ван-Пис / Большой куш]",https://music.youtube.com/watch?v=daFi4MScfl8,8:41:30,Astolphik,долг,,атлична,Аниме,,,,,,,,,,,
46) KAYZO & BAD OMENS — Suffocate,https://youtu.be/d6eM7nJ61Wc,8:48:35,Hedor0u,донат,,атлична+,,,,,,,,,,,,
47) Б.А.У. — Армия тьмы,https://youtu.be/ga86Oim_SX4?si=mZt7djncF9uVU2Yy,8:58:25,Дракон Антон,долг Х2,,ну такое+,,,,,,,,,,,,
48) PSYQUI feat. Such — Hysteric Night Girl (Original Mix),https://www.youtube.com/watch?v=HV4iTnWg3Z0,9:10:10,Чар,донат,,атлична+,,,,,,,,,,,,
"49) Edouard Brenneisen — Neeko, the Curious Chameleon (Login Screen) [OST, League of Legends]",https://www.youtube.com/watch?v=3rKhj0N_eaU,9:28:05,Алексей Котляр,долг Х3💀,,гениально-,Игра,,,,,,,,,,,
50) Benjamin Clementine — London,https://youtu.be/6RJMhYtYKMQ,9:37:30,Враг тишины,донат,,гениально,,,,,,,,,,,,
51) Sealong Keeper — Raven's Cry (Собственная композиция #1),https://drive.google.com/file/d/1vgLArC4GIFxreb7Tv8ngnKKR6t2GFvI8/view?usp=sharing,9:45:55,Sealong Keeper,долг,,атлична,,,,,,,,,,,,
52) Polkadot Stingray — Telecaster Stripes (Capacity Version),https://www.youtube.com/watch?v=arDAbXXk1_g,9:52:05,Чар,донат,,атлична-,,,,,,,,,,,,
"53) Akemi — Kid [OP 1, Ginga Eiyuu Densetsu Gaiden / Легенда о героях Галактики: Гайден] ",https://youtu.be/ECIfqQLl-_E?si=HEn9vCSZOXb59cS2,10:00:05,Nighter Specter,долг Х2,,атлична+,Аниме,,,,,,,,,,,
54) Shintenchi Kaibyaku Shudan: Zigzag — Promise (MV),https://www.youtube.com/watch?v=IsNup-bXLE8,10:06:30,Hedor0u,донат,,атлична-,,,,,,,,,,,,
"55) SPYAIR — Wadachi {轍} [Theme Song, Film ""Gintama THE FINAL"" / Гинтама: Финал]",https://youtu.be/03BzZld9lvE?list=PLAC1HPoQtq26Bc0fry8uctUM43tNCSAxi,10:14:30,AndrLord,долг Х3💀,,гениально -,Аниме,,,,,,,,,,,
"56) Kevin Penkin feat. Takeshi Saito — Hanezeve Caradhina [OST, Made in Abyss / Созданный в Бездне]",https://youtu.be/mnRoh0lGxwM?si=bGB76hM0stBSWfED,10:22:15,Monstrrro,донат,,атлична+,Аниме,,,,,,,,,,,
"57) Christopher Larkin — Hornet [OST, Hollow Knight]",https://www.youtube.com/watch?v=7xkM8mWC4Kk,10:28:20,Летта,долг,,хорошечно,Игра,,,,,,,,,,,
"58) amazarashi — Kisetsu ha Tsugitsugi Shindeiku [ED 2, Tokyo Ghoul √A / Токийский гуль √A]",https://youtu.be/wtJcLWeY114,10:35:25,Andrlord,донат,,атлична-,Аниме,,,,,,,,,,,
59) АлисА — Солнце - Иерусалим {Sun - Jerusalem},https://youtu.be/zLnOwe5V86s?si=VPMnmXsta1R-igOy,10:45:05,[Arkstar],долг Х2,,хорошечно+,,,,,,,,,,,,
"60) Coda — Fighting Gold (Creditless FullHD) [OP, JoJo's Bizarre Adventure: Golden Wind]",https://youtu.be/p5X8Z-jvsHI,11:00:50,Враг тишины,донат,,атлична,Аниме,,,,,,,,,,,
СТРИМ №18 (25.08.24),https://vkvideo.ru/video-182074546_456239045,, ,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ, ,, ,,,,,,,,,,,,,,,
1) Kashitaro Ito — Shura Nikki {修羅日記} [1 Opening Isekai Shikkaku / Дисквалифицирован по жизни],https://youtu.be/H8UBtVs5Z4w?si=x-HhqmSx0_7yImSv,10:35,@beznadejnyi,очередь,,атлична,Аниме,,,,,,,,,,,
2) Hiroyuki Sawano feat. Laco — FAKEit [OST; Fate/strange Fake: Whispers of Dawn / Судьба/Странная подделка: Шёпот рассвета],https://youtu.be/a_iU8YeH944?si=muTc22Y4XvjSq9PG,23:35,AndrLord,очередь,,хорошечно ++,Аниме,,,,,,,,,,,
3) Sati Akura — INTERNET YAMERO (Aiobahn feat. KOTOKO - INTERNET YAMERO; RUS Cover) [OST; NEEDY STREAMER OVERLOAD / NEEDY GIRL OVERDOSE],https://www.youtube.com/watch?v=NcJfXbao62s,33:20,Акума,очередь,,хорошечно,Игра,,,,,,,,,,,
4) Спектакль Джо — Портрет {Portrait},https://www.youtube.com/watch?v=SSFPhJgLTb0,0:00,@YaHakas,очередь,,атлична-,,,,,,,,,,,,
5) STERVELL — Снег в большом городе {Snow in the big city},https://youtu.be/DykIRnQMCGw?si=AaxqovkJUjj9B-ZD,9:25,@Ploshka23,очередь,,хорошечно+,,,,,,,,,,,,
"6) Murray Gold — The Shepherd's Boy (Series 9; Episode 11, Heaven Sent) [Doctor Who OST]",https://youtu.be/fXo47CIUuFg?si=rW-h8TBvz8Z0h90i,18:15,@t_mnogobukv,очередь,,атлична,Фильм,,,,,,,,,,,
7) Body Count — No Lives Matter (official video),https://youtu.be/hlk7o5T56iw?si=wkMksflgiWUuHcOQ,28:45,@bibiboyss,очередь,,ну такое+,,,,,,,,,,,,
"8) GEMN, Kento Nakajima & Tatsuya Kitani — Fatal {ファタール} [1/2 Opening Oshi no Ko Season 2 / Звёздное дитя 2 / Ребёнок идола 2]",https://youtu.be/8tQiWHXSGN0?si=wqbbMu2anwjSL6Fq,42:15,@userqwass,очередь,,гениально -,Аниме,,,,,,,,,,,
9) Keina Suda — Veil [1 Ending Fire Force / Пламенная бригада пожарных],https://youtu.be/n7VZxg9pxkg?si=37T_GtWEvv3_0qnb,1:11:05,@se1jatach1,очередь,,атлична,Аниме,,,,,,,,,,,
10) Sawano Hiroyuki feat. TOMORROW X TOGETHER — LEveL [1 Opening Solo Leveling / Поднятие уровня в одиночку],https://www.youtube.com/watch?v=Jsc6bPHe4tM,1:19:40,@Rayels66,очередь,,хорошечно,Аниме,,,,,,,,,,,
11) DECO*27 feat. Hatsune Miku — Volt Tackle {ボルテッカー},https://youtu.be/C-7TIDIKc98?si=l4oPA7ZUojFvXJmi,1:30:35,Акума,очередь,,атлична -,,,,,,,,,,,,
12) Yelzhar — Orchestral Music for Genshin (Genshin Impact AMV),https://www.youtube.com/watch?v=P79YLice_eQ,1:40:55,@Yelzhar,очередь,,хорошечно,,,,,,,,,,,,
13) Sleep Token — The Summoning (Lyric Video),https://youtu.be/go_wKkic2Fw?si=LxpxCJudvNIiJPIM,2:01:00,@Shakabu1,очередь,,хорошечно+,,,,,,,,,,,,
"14) Marc Straight — Gehrman, The First Hunter [OST, Bloodborne]",https://youtu.be/3V9zxXN1rx0?si=2qgBzTTiOMJA6CeE,2:14:40,@Kirito65,очередь,,атлична - ,Игра,,,,,,,,,,,
15) Ягода — Невольница,https://www.youtube.com/watch?v=N2FKt-HuGTI&list=RDRUIQKVcf_gE&index=3,2:28:05,@Slovarec,очередь,,атлична - -,,,,,,,,,,,,
16) OOMPH! — Defekt,https://youtu.be/WJL3Si73lJg,2:39:25,Часовня Безумия,очередь,,джафар - -,,,,,,,,,,,,
17) Megumi Hayashibara — Give a Reason [1 Opening Slayers Next / Рубаки Некст],https://www.youtube.com/watch?v=q1l-oY3hMng,2:54:25,@ilyaxa24,очередь,,атлична-,Аниме,,,,,,,,,,,
18) Yuuri — Curtain Call {カーテンコール} [2/13 Opening Boku no Hero Academia 7th Season / Моя геройская академия 7],https://youtu.be/b3f6Shks9g4?si=2OfZ5QNWI72NOn9O,3:17:00,kumashisan,очередь,,атлична,Аниме,,,,,,,,,,,
19) Hozier — From Eden,https://www.youtube.com/watch?v=JmWbBUxSNUU,3:22:10,@jeffre_q,очередь,,атлична -,,,,,,,,,,,,
"20) Nightwish — The Poet and the Pendulum (Part 1-5, Official Live)",https://www.youtube.com/watch?v=N4Vfy5yCy-c,3:29:30,@Sinnot,очередь,,атлична,,,,,,,,,,,,
21) Dream Theater — The Enemy Inside (LYRIC VIDEO),https://youtu.be/RoVAUUFjl0I?si=oRQLT4M069x5Gybj,3:48:05,@Forever_temochka,очередь,,атлична,,,,,,,,,,,,
СТРИМ №17 (24.08.24),https://vkvideo.ru/video-182074546_456239044,, ,,,,,,,,,,,,,,,
 , ,, ,,,,,,,,,,,,,,,
1) Пающие Трусы — Василёк (Без цензуры),https://youtu.be/mj_jwF-m8J4?si=ofKI98-7WeHI41-U,18:35,Monstrrro,донат,,хорошечно+,,,,,,,,,,,,
2) BLUE ENCOUNT — Polaris {ポラリス} [1/6 Opening Boku no Hero Academia 4th Season / Моя геройская академия 4],https://youtu.be/DF0omzEo1uc,3:45,Sendy Polaris,долг,,атлична,Аниме,,,,,,,,,,,
"3) Kikuo feat. Hatsune Miku — Aishite Aishite Aishite {Love Me, Love Me, Love Me / 愛して愛して愛して} (Vocaloid)",https://youtu.be/NTrm_idbhUk?si=lOs9qQCPrWxWvGOb,19:00,Madao,донат,,атлична+,,,,,,,,,,,,
4) Arkstar — Voltage in the Colossus Heart,https://youtu.be/PqzdQueQMHk?si=yB9IBQaOfHZONjDl,37:35,[Arkstar],долг Х2,,хорошечно-,,,,,,,,,,,,
5) Король и Шут — Отражение {Reflection},https://www.youtube.com/watch?v=b63ABtQpYDQ,1:04:35,latiaumen,донат,,атлична-,,,,,,,,,,,,
6) Shiro Sagisu — Thanatos (E-13; The Symphony Of Evangelion) [OST; Neon Genesis Evangelion / Евангелион нового поколения],https://www.youtube.com/watch?v=GP8K927lgOY,1:42:20,Sheruka,долг Х3💀,,атлична+,Аниме,,,,,,,,,,,
7) Mick Gordon — BFG Division [11 OST; Doom 2016г.],https://youtu.be/QHRuTYtSbJQ?si=96Uavv0QMQb0Y5lD,1:53:55,50 50,донат,,атлична+ (хорошечно+),Игра,,,,,,,,,,,
8) Aviators — Masks (Halloween Song | Orchestral Alternative),https://youtu.be/fPJNdggCNqk,2:10:05,Sendy Polaris,долг,,хорошечно,,,,,,,,,,,,
9) Jack Wall — Suicide Mission [Mass Effect 2 OST],https://www.youtube.com/watch?v=DgOvZQ0TU2I,2:21:00,Historiker Turquoise,донат,,хорошечно-,Игра,,,,,,,,,,,
10) Joe Hisaishi — Princess Mononoke {Mononoke Hime} (Live; Intro) [OST; Princess Mononoke / Принцесса Мононоке],https://youtu.be/bCM3clq-_c0?si=1g0o0DM5Ikmgvtfy,2:35:15,Madao,долг Х2,,гениально - -,Фильм,,,,,,,,,,,
11) Marcin Przybyłowicz & Percival — Sword of Destiny (Main Theme) [The Witcher 3: Wild Hunt OST],https://www.youtube.com/watch?v=viM0-3PXef0,2:51:15,50 50,повтор,,атлична,Игра,,,,,,,,,,,
12) Animenz — STYX HELIX (MYTH & ROID - STYX HELIX; Piano Cover) [1 Ending Re:Zero - Starting Life in Another World / Re:Zero. Жизнь с нуля в альтернативном мире],https://youtu.be/Ny9B2rwV9Qg?si=bsGYhRvqn7olJO4v,3:00:40,Steinway,долг Х3💀,,хорошечно,Аниме,,,,,,,,,,,
13) АнимациЯ — Штуки (Альбом: Кругом враги),https://youtu.be/vGuYrsK0Xas?si=eeEXbKj1czjd6ATr,3:11:00,Baikk,донат,,хорошечно+,,,,,,,,,,,,
14) BREATHE — Kimi to Kare to Boku to Kanojo to {君と彼と僕と彼女} [15 Ending Fairy Tail / Хвост феи],https://youtu.be/P-69iDZY_y8,3:39:20,Sendy Polaris,долг,,атлична-,Аниме,,,,,,,,,,,
15) Hans Zimmer & Lorne Balfe — Crysis 2 Intro (Menu Music) [Crysis 2 OST],https://youtu.be/f5w2eW3jL1g?si=UkXMbKPQXqM64uTj,3:50:40,50 50,донат,,хорошечно-,Игра,,,,,,,,,,,
16) Paledusk feat. Masato from coldrain — RUMBLE,https://www.youtube.com/watch?v=TChJ2n-3rz4,3:58:20,Hedor0u,долг,,атлична+,,,,,,,,,,,,
17) SIAMES — The Wolf (Official Animated Music Video),https://youtu.be/lX44CAz-JhU?si=ix9iVU3k3oxpy9tJ,4:12:50,Baikk,донат,,атлична,,,,,,,,,,,,
18) Yuko Miyamura — Kokoro yo Genshi ni Modore ~2012 Version~ {心よ原始に戻れ ～2012 Version～?} (theme for the CR Evangelion 7 pachinko machine) [OST; Neon Genesis Evangelion: Death & Rebirth / Евангелион нового поколения: Смерть и перерождение],https://www.youtube.com/watch?v=lNFueRJB5aI,4:20:10,Sheruka,долг Х2,,хорошечно+,Аниме,,,,,,,,,,,
19) The Prodigy — Breathe (Evangelion AMV),https://youtu.be/-QBgnWXwXWM?si=ZdK1-jFrWb0XN3Sw,4:30:25,50 50,донат,,хорошечно+,,,,,,,,,,,,
20) Takemashi — Lisa,https://music.yandex.ru/album/31841411/track/127506947?utm_medium=copy_link,4:42:00,Takemashi,долг Х3💀,,хорошечно,,,,,,,,,,,,
21) Masayuki Suzuki feat. Suu — GIRI GIRI [1/3 Opening Kaguya-sama: Love Is War -Ultra Romantic- / Госпожа Кагуя: в любви как на войне 3],https://www.youtube.com/watch?v=vptdHEUZN10,4:50:15,Historiker Turquoise,донат,,атлична+ (хорошечно+),Аниме,,,,,,,,,,,
22) Jon Opstad & Paul Haslinger — Celestial Concerto (Main Menu Theme) [Tom Clancy's Rainbow Six Siege: Operation Void Edge OST],https://www.youtube.com/watch?v=hQlwOs_TckU,5:03:45,Винсон,долг,,атлична,Игра,,,,,,,,,,,
22.5) После перерывная Импровизация от Faryma.composer,Стрим,5:28:45,Faryma.composer,,,,,,,,,,,,,,,
"23) Paul Romero — Tower (LIVE CONCERT) [OST, Heroes of Might and Magic 3]",https://youtu.be/SkuPY3sweZQ?t=1624,5:36:45,Anonymous,донат,,хорошечно+,Игра,,,,,,,,,,,
24) Ado — MIRROR,https://vk.com/video-203155296_456239576,5:47:30,Mich,долг Х2,,хорошечно++ ,,,,,,,,,,,,
25) Noisestorm — Crab Rave (Monstercat Release),https://youtu.be/LDU_Txk06tM?si=Nz-W2YyCwV_YzB0p,5:55:20,50 50,донат,,атлична,,,,,,,,,,,,
26) LISA — Sea of the Stars [3 Opening Legend of the Galactic Heroes / Легенда о героях Галактики],https://youtu.be/qH8G-lBTUDY?si=ugTvCn_wUk0vjQtX,6:03:55,Nighter_Specter,долг Х3💀,,атлична-,Аниме,,,,,,,,,,,
27) Radiohead — Videotape,https://www.youtube.com/watch?v=WF83_PR2EsA,6:12:10,andrei,донат,,хорошечно,,,,,,,,,,,,
28) Red Velvet — Zimzalabim {짐살라빔},https://music.youtube.com/watch?v=q2y_2maXsqU&si=IpHKS3az8zbjkzuU,6:21:25,Kanashy Girl,долг,,атлична,,,,,,,,,,,,
29) Kikuo feat. Hatsune Miku — Hole-Dwelling {Anagura-gurashi / あなぐらぐらし} (Vocaloid),https://youtu.be/I15sK7dNMOM?si=R6xtHZLURcMtX4aM,6:28:25,Madao,донат,,атлична+,,,,,,,,,,,,
"30) Evan Call — The Ultimate Price (Не использовалось в аниме, вышло после) [Violet Evergarden: Automemories]",https://www.youtube.com/watch?v=X8SpPAnyEMQ,6:41:10,Sheruka,долг Х2,,хорошечно+,,,,,,,,,,,,
31) GRANRODEO — Treasure Preasure [1 Opening Hanma Baki: Son of Ogre / Баки — сын Великана],https://youtu.be/aul9RWoyJY0?si=glBIW31ImGGnav0f,6:47:05,Baikk,донат,,атлична,Аниме,,,,,,,,,,,
32) Takayuki Hattori & GUNDAM THE ORIGIN feat. yu-yu — Hoshikuzu No Sunadokei [OST; Mobile Suit Gundam: The Origin / Мобильный воин Гандам: Происхождение],https://youtu.be/eGbG_XuGp5o?si=-0zWCEZ6JdXpD6su,7:03:50,Nighter_Specter,долг Х3💀,,атлична,Аниме,,,,,,,,,,,
33) Alesso — Payday [Payday 2 OST],https://youtu.be/TUbZ76WRrZ8?si=rnCC-sydJIq7KQ_G,7:13:35,Vins ,донат,,атлична-,Игра,,,,,,,,,,,
34) ryo feat. Hatsune Miku — World is Mine {ワールドイズマイン} (Vocaloid),https://youtu.be/NY__VTIUsiU?si=pQton7OxKimxKSto,7:20:35,Акума,долг,,хорошечно,,,,,,,,,,,,
35) Imperial Circus Dead Decadence — Goku {獄},https://www.youtube.com/watch?v=vIA5VSiUwFg,7:31:10,quellcom360,долг Х2,,хорошечно++,,,,,,,,,,,,
36) MetaFora — Капает пиво,https://www.youtube.com/watch?v=xDiArcO3P94,7:41:20,Metafora,донат,,атлична-,,,,,,,,,,,,
37) Konomi Suzuki — Realize [1/3 Opening Re:Zero - Starting Life in Another World 2nd Season / Re:Zero. Жизнь с нуля в альтернативном мире 2],https://youtu.be/AwHapidVQlI?si=pwh-ved9bMBx7A8F,7:48:40,Momonga,донат,,атлична,Аниме,,,,,,,,,,,
38) OG_HAN1 — suca demo,https://disk.yandex.ru/d/W2jHcp7F4WqboQ,7:58:15,OG_HAN1,донат,,атлична,,,,,,,,,,,,
39) Sealon Keeper — Former Glory,https://drive.google.com/file/d/198wSH7pylLu3YI1cH4xrAZhzy7QT4_2r/view?usp=sharing,8:07:45,Sealong Keeper,донат,,атлична-,,,,,,,,,,,,
40) Mili — Through Patches of Violet [Limbus Company OST],https://youtu.be/G_JfKOjwzwo?si=3kR0vjzdE8xoxPfc,8:15:40,Anonymous,донат,,гениально - -,Игра,,,,,,,,,,,
41) Лидия Чебоксарова — Пантомима (Ф. Медведенко),https://www.youtube.com/watch?v=R1RE0skyPfg,8:25:35,Historiker Turquoise,донат,,атлична,,,,,,,,,,,,
СТРИМ №16 (04.08.24),https://vkvideo.ru/video-182074546_456239043,, ,,,,,,,,,,,,,,,
АЛКОГОЛЬНЫЙ, , , ,,,,,,,,,,,,,,,
1) Дмитрий Биргер — Big Gun (AC/DC - Big Gun; Рокикараоке),https://vk.com/video-218014927_456239096?t=47m24s,18:35,Дмитрий Биргер,донат,,"ЭМОЦИОНАЛЬНО, НЕРЕАЛЬНО, В НОТЫ (ИНОГДА)",,,,,,,,,,,,
2) Houshou Marine & Kobo Kanaeru — III (original anime MV),https://www.youtube.com/watch?v=lUDPjyfmJrs,30:35,Sheruka,долг,,гениально -,,,,,,,,,,,,
"3) Дискотека Авария — Пей пиво! (Официальный клип, 2000)",https://youtu.be/z_pu-rnwOdI?si=ThZqUW99bY9Qpos1,38:55,Monstrrro,донат,,хорошечно,,,,,,,,,,,,
4) Ado — I’m a Controversy {アタシは問題作},https://vk.com/video-203155296_456239218,50:00,Mich,долг,,атлична ,,,,,,,,,,,,
5) Валерий Леонтьев — Полет на дельтаплане {Hang-Glider Flight} (1983),https://youtu.be/AWjr5fMgYSY,1:02:50,ayl1es,донат,,атлична+,,,,,,,,,,,,
6) Anonymouz — River [1/3 Opening Vinland Saga Season 2 / Сага о Винланде 2],https://youtu.be/V-uTOWL8X0w?si=yCE85iaSbH0tEmj0,1:11:00,Yur4ka,долг,,атлична,Аниме,,,,,,,,,,,
7) Damjan Mravunac — Cathedral [Serious Sam 4 OST],https://youtu.be/6Kzr4DGHPDk?si=d6fMJg3sWwZyxert,1:22:15,AlexanderMSK,донат,,хорошечно+,Игра,,,,,,,,,,,
"8) Nobuyoshi Suzuki — Ludwig, The Accursed & Holy Blade [Bloodborne: The Old Hunters OST]",https://youtu.be/ALbVEmzY5S4?si=rnwfs6vQ6H8AtzKD,1:35:10,Madao,долг,,атлична+,Игра,,,,,,,,,,,
9) Damjan Mravunac — Tunguska [Serious Sam 4 OST],https://www.youtube.com/watch?v=pKHwTqsIG5M,2:06:55,AlexanderMSK,донат,,атлична,Игра,,,,,,,,,,,
10) SYU feat. Tenge Fuyuki — REASON (from GALNERYUS; GUEST VOCAL: Fuki),https://youtu.be/958z1pk9_Ns?si=8Q-9JBfANti_vGcj,2:16:00,160бпм,долг,,хорошечно,,,,,,,,,,,,
11) Little Big — I'm OK,https://youtu.be/SsFI40bXROs?si=jhzQQngJQK7LymuU,2:30:00,Monstrrro,донат,,хорошечно+ (атлична+ в контексте),,,,,,,,,,,,
12) Sherry — Kaze no Fantasia {Fantasia of the Wind} [OST; Record of Lodoss War / Летопись войн острова Лодосс],https://youtu.be/gBpyGaNQnmM?si=F4PzWWJqmUR01B78,2:37:55,Yur4ka,долг,,,Аниме,,,,,,,,,,,
13) QUEEN BEE — 01 {ZERO ICHI} [1 Opening Undead Unluck / Нежить и Неудача],https://vk.com/video?q=undead%20unluck%20op&z=video177414368_456240031%2Fpl_cat_trends,2:50:40,FallenSxde,долг Х2,,хорошечно,Аниме,,,,,,,,,,,
14) Mortal Squirt — Спорт и Бухло,https://vk.com/video2521282_172000488,3:01:10,AlexanderMSK,донат,,ну такое (атлична как идея спорт бухло),,,,,,,,,,,,
15) ONE OK ROCK — The Beginning [OST; Rurouni Kenshin / Бродяга Кэнсин 2012],https://www.youtube.com/watch?v=DgUDWmjRPAE&list=RDIvo6e0mOtns&index=5,3:07:40,Otoko,долг,,хорошечно++,Фильм,,,,,,,,,,,
16) горе и желание — Стадо,https://youtu.be/wzCRiQH_Zfc?si=ZUkBPHYVC3HhhCJo,3:20:40,Anonymous,долг Х2,,Ну такое ++ ,,,,,,,,,,,,
17) Собственная песня Alex Newton #12,ЛС Телеграмма,3:32:50,Alex Newton,донат,,атлична - -,,,,,,,,,,,,
18) Sherry — Fantasia of the Wind (English - Complete; BNS Mix) [OST; Record of Lodoss War / Летопись войн острова Лодосс],https://youtu.be/7WVz3gUdfV0?si=EjbEa7eqloQL8UB1,3:40:35,Yur4ka,долг,,хорошечно+,Аниме,,,,,,,,,,,
19) Aimer — Deep Down [9 Ending Chainsaw Man / Человек-бензопила],https://youtu.be/X75Qy-GiW4Y?si=uldpJ8NbciweHgMy,3:48:45,FallenSxde,долг Х2,,атлична -,Аниме,,,,,,,,,,,
20) Ленинград — В Питере - пить,https://youtu.be/1ugivNRYfjc?si=sK7YsOivF4upJGzp,3:57:45,Monstrrro,донат,,хорошечно - (как идея лайк),,,,,,,,,,,,
20.1) Общение с чатом и импровизация от Faryma.composer,Стрим,4:11:50,Faryma.composer,,,,,,,,,,,,,,,
20.2) Общение с зрителями в Discord #1 + Неудачное караоке,Стрим,4:46:00,Faryma.composer,,,,,,,,,,,,,,,
21) Mnogoznaal — Долины {Valleys},https://youtu.be/zsTBrpK2Dzw?si=reyIYel7zdqVBLka,5:18:40,AlexanderMSK,долг,,хорошечно+,,,,,,,,,,,,
"22) A-ha — Butterfly, Butterfly (The Last Hurrah)",https://youtu.be/IZjXysUwmM4?si=RUU7ARYFjs5D2vwH,5:24:55,Alex Newton,донат,,атлична,,,,,,,,,,,,
23) Daisuke Ishiwatari — Smell of the Game (Opening Theme; With Lyrics) [Guilty Gear Strive OST],https://youtu.be/2GcKrCnDBf4?si=R-I4-SpSdqY7bOV7,5:33:35,Винсон,долг,,атлична -,Игра,,,,,,,,,,,
24) Сергей Наговицын — Сизый,https://www.youtube.com/watch?v=b8bLJQj9zic&ab_channel=bedalaga22,5:44:10,risider,донат,,хорошечно-,,,,,,,,,,,,
25) OxT — HOLLOW HUNGER [1 Opening Overlord IV / Повелитель 4],https://youtu.be/erCxCAh8Wcw?si=-1t2L324K7AqCUxA,5:54:40,Momonga,долг,,хорошечно + +,Аниме,,,,,,,,,,,
26) Damjan Mravunac — Boss Fight Strings [Serious Sam 3: BFE OST],https://www.youtube.com/watch?v=UPbJhuAqDzk&list=PLB52D04690C692D42&index=30,6:01:00,AlexanderMSK,донат,,хорошечно-,Игра,,,,,,,,,,,
27) Daisuke Ishiwatari — Ups and Downs (Slayer Theme; With Lyrics) [Guilty Gear Strive OST],https://www.youtube.com/watch?v=uh4Ic2hGoGA,6:08:15,Винсон,долг,,атлична,Игра,,,,,,,,,,,
"28) Лидия Чебоксарова & Павел Фахрдинов (Евгений Быков, Алексей Бардин; песня на стихи Маяковского)",ЛС Телеграмма,6:29:30,Historiker Turquoise,донат,,хорошечно+ ,,,,,,,,,,,,
29) Eve — Raison Detre {Смысл Существования / レーゾンデートル},https://m.youtube.com/watch?v=ulfY8WQE_HE,6:38:05,Svd_bb,долг,,атлична - - ,,,,,,,,,,,,
30) A-ha — Velvet (2000г.) [One Night at McCool’s OST],https://www.youtube.com/watch?v=o5cMRrIk5xc,6:50:00,AlexanderMSK,донат,,атлична-,Фильм,,,,,,,,,,,
31) Daisuke Ishiwatari — Find Your One Way (Sol Theme) [Guilty Gear Strive OST],https://www.youtube.com/watch?v=_wctYnmYhj8,6:56:45,Винсон,долг,,хорошечно+,Игра,,,,,,,,,,,
32) Tim Buckley — Phantasmagoria in Two,https://youtu.be/OO8862McM00,7:07:40,ayl1es,донат,,атлична,,,,,,,,,,,,
33) Jeff Buckley — Grace (Official Video),https://youtu.be/A3adFWKE9JE,7:13:10,ayl1es,донат,,атлична+,,,,,,,,,,,,
34) Sakanaction — Shin Takarajima {新宝島} [OST; Bakuman / Бакуман 2015г.],https://www.youtube.com/watch?v=LIlZCmETvsY&list=PL8agXBw0tpAY5LVrQu0r15-MciHeirDon,7:22:50,FallenSxde,долг,,хорошечно+,Фильм,,,,,,,,,,,
35) Mnogoznaal — Круг Без Конца {Circle Without End},https://youtu.be/m6bEzVWHPk4?si=PF9ZxpiIInXHnPjj,7:30:30,AlexanderMSK,донат,,хорошечно- (если вайб - до гениально),,,,,,,,,,,,
36) Vylet Pony — i’ve still got something to teach you,https://youtu.be/wpXwEcHhlpQ?si=X3dzBwPA3qlfK9mX,7:43:50,Вешхкалка,долг,,хорошечно-,,,,,,,,,,,,
37) Король и Шут — Ели мясо мужики {Men Were Eating Meat},https://www.youtube.com/watch?v=vjwOZUrUs6U,7:57:25,Даяна Цист,донат,,атлична,,,,,,,,,,,,
38) Frederic — oddloop {オドループ },https://www.youtube.com/watch?v=PCp2iXA1uLE,8:02:20,FallenSxde,долг,,атлична+,,,,,,,,,,,,
